TradingDate,TradingTimeHour,ID,Min,Avg,Max,Count
2021-11-08,10:00,TEP.FR,346.5,347.80599794369414,350.1,574
2021-11-08,10:00,TFI.FR,8.91,8.932115384615383,8.965,26
2021-11-08,10:00,TOUP.FR,7.95,7.958,7.96,5
2021-11-08,10:00,TRI.FR,165.7,166.2116071428572,166.5,28
2021-11-08,10:00,UBI.FR,46.65,46.80783213472688,47.06,171
2021-11-08,10:00,UFF.FR,17.9,17.975,18.05,2
2021-11-08,10:00,VCT.FR,38.35,38.43611111111111,38.55,18
2021-11-08,10:00,VIL.FR,5.88,5.88,5.88,1
2021-11-08,10:00,VK.FR,7.04,7.108155161655159,7.2,111
2021-11-08,10:00,VMGBS.FR,0.005,0.005,0.005,1
2021-11-08,10:00,VRAP.FR,17.85,17.85,17.85,1
2021-11-08,10:00,XFAB.FR,9.575,9.621321138211384,9.67,41
2021-11-08,11:00,ABEO.FR,14.55,14.560714285714287,14.571428571428571,2
2021-11-08,11:00,ABVX.FR,27.7,27.80238095238095,27.916666666666668,7
2021-11-08,11:00,ACA.FR,13.286,13.343457404901082,13.386000000000001,451
2021-11-08,11:00,ACAN.FR,0.518,0.52,0.522,2
2021-11-08,11:00,ADVIC.FR,8.75,8.931179453262784,9.06,18
2021-11-08,11:00,AFME.FR,6.0,6.035,6.07,2
2021-11-08,11:00,AIR.FR,114.28,114.87068519783314,115.22,878
2021-11-08,11:00,AKW.FR,22.7,22.79886363636364,22.9,22
2021-11-08,11:00,ASY.FR,30.9,30.96666666666667,31.0,3
2021-11-08,11:00,ATE.FR,150.2,150.51041666666666,150.9,32
2021-11-08,11:00,AUB.FR,56.650000000000006,57.07592592592593,57.3,18
2021-11-08,11:00,AURE.FR,8.8,8.888,8.94,5
2021-11-08,11:00,AURS.FR,25.5,25.5,25.5,1
2021-11-08,11:00,AVT.FR,0.0623,0.06388749999999999,0.0647,8
2021-11-08,11:00,BLC.FR,42.3,42.385714285714286,42.45,7
2021-11-08,11:00,BN.FR,56.87428571428571,56.93111635096026,57.0,362
2021-11-08,11:00,BON.FR,22.25,22.25,22.25,1
2021-11-08,11:00,CAP.FR,211.2,211.48405994615374,211.9,143
2021-11-08,11:00,CAPLI.FR,24.6,24.675,24.7,4
2021-11-08,11:00,CARM.FR,13.52,13.63637931034483,13.74,29
2021-11-08,11:00,CBOT.FR,3.74,3.74,3.74,1
2021-11-08,11:00,CDA.FR,15.92,15.968412698412696,16.05142857142857,18
2021-11-08,11:00,CEN.FR,67.4,67.4,67.4,1
2021-11-08,11:00,CGG.FR,0.6796,0.6858327022841654,0.692,123
2021-11-08,11:00,CGGBS.FR,0.0062,0.0062,0.0062,2
2021-11-08,11:00,CGM.FR,25.0,25.025,25.05,2
2021-11-08,11:00,CNV.FR,7.097142857142857,7.228571428571429,7.36,2
2021-11-08,11:00,COM.FR,11.65,11.825,12.0,2
2021-11-08,11:00,COX.FR,3.175,3.175,3.175,2
2021-11-08,11:00,CS.FR,25.47,25.556895394330496,25.62,521
2021-11-08,11:00,DBG.FR,10.47,10.514134615384613,10.57,26
2021-11-08,11:00,DGE.FR,44.0,44.095,44.19,2
2021-11-08,11:00,DLTA.FR,90.0,90.4,90.8,4
2021-11-08,11:00,DVT.FR,168.5,168.5,168.5,3
2021-11-08,11:00,EC.FR,138.0,138.0,138.0,1
2021-11-08,11:00,ECP.FR,0.7985,0.7987500000000001,0.799,2
2021-11-08,11:00,ELIOR.FR,6.465,6.503571428571428,6.54,42
2021-11-08,11:00,ELIS.FR,16.55,16.584999999999983,16.61,101
2021-11-08,11:00,ENGI.FR,12.757999999999997,12.780179769076303,12.8,332
2021-11-08,11:00,ES.FR,14.5,14.5,14.5,7
2021-11-08,11:00,ESI.FR,69.4,69.4,69.4,1
2021-11-08,11:00,ETL.FR,12.555,12.63700194805195,12.699000000000002,110
2021-11-08,11:00,FATL.FR,43.4,43.4,43.4,1
2021-11-08,11:00,FDJ.FR,45.330000000000005,45.43975670963651,45.5,104
2021-11-08,11:00,FGR.FR,92.92,93.15835512510087,93.5,177
2021-11-08,11:00,FNAC.FR,57.6,57.71052631578947,57.79999999999999,19
2021-11-08,11:00,FPN.FR,0.0374,0.037457142857142856,0.0378,7
2021-11-08,11:00,GALIM.FR,16.8,16.8,16.8,1
2021-11-08,11:00,GLO.FR,19.58,19.621666666666666,19.66,6
2021-11-08,11:00,GNFT.FR,3.15,3.1601538461538463,3.17,13
2021-11-08,11:00,GRVO.FR,132.0,133.51041666666666,134.5,16
2021-11-08,11:00,GUI.FR,14.479999999999999,14.581875000000002,14.65,16
2021-11-08,11:00,GV.FR,0.367,0.36916000000000004,0.3718,15
2021-11-08,11:00,HDP.FR,2.1,2.1,2.1,1
2021-11-08,11:00,HEXA.FR,42.2,42.32000000000001,42.4,5
2021-11-08,11:00,HOLN.FR,44.61,44.65806410256411,44.75,65
2021-11-08,11:00,IPH.FR,4.78,4.806433333333334,4.83,15
2021-11-08,11:00,IPS.FR,41.199999999999996,41.270833333333336,41.35,24
2021-11-08,11:00,KORI.FR,29.28,29.342222222222208,29.42,45
2021-11-08,11:00,LAT.FR,0.518,0.5210833333333333,0.524,3
2021-11-08,11:00,LBIRD.FR,20.15,20.2,20.3,4
2021-11-08,11:00,LI.FR,21.95,22.062940112686295,22.225,131
2021-11-08,11:00,LOCAL.FR,1.3111,1.3129,1.3158,10
2021-11-08,11:00,LSS.FR,36.7,36.7,36.7,3
2021-11-08,11:00,MAAT.FR,13.8,13.982327586206903,14.2,29
2021-11-08,11:00,MBWS.FR,1.425,1.438611111111111,1.45,6
2021-11-08,11:00,MCPHY.FR,22.52,22.63178063135365,22.75,89
2021-11-08,11:00,MDM.FR,20.3,20.405700000000007,20.5,40
2021-11-08,11:00,MLAA.FR,2.75,2.75,2.75,2
2021-11-08,11:00,MTU.FR,29.45,29.61296296296296,29.8,9
2021-11-08,11:00,NEX.FR,88.75,89.01545138888888,89.3,48
2021-11-08,11:00,NHOA.FR,19.92,19.92,19.92,1
2021-11-08,11:00,NK.FR,37.26,37.367260822510836,37.6,66
2021-11-08,11:00,NOKIA.FR,5.099,5.107578947368421,5.113,19
2021-11-08,11:00,NVD3.FR,312.2,312.2,312.2,3
2021-11-08,11:00,ORAP.FR,6.0,6.003846153846154,6.01,13
2021-11-08,11:00,ORIA.FR,185.0,185.0,185.0,1
