TradingDate,TradingTimeHour,ID,min(Last),avg(Last),max(Last),count(1)
2021-11-08,11:00,DGE.FR,44.0,44.095,44.19,2
2021-11-08,11:00,DLTA.FR,90.0,90.4,90.8,4
2021-11-08,11:00,DVT.FR,168.5,168.5,168.5,3
2021-11-08,11:00,EC.FR,138.0,138.0,138.0,1
2021-11-08,11:00,ECP.FR,0.7985,0.7987500000000001,0.799,2
2021-11-08,11:00,ELIOR.FR,6.465,6.503571428571429,6.54,42
2021-11-08,11:00,ELIS.FR,16.55,16.58499999999999,16.61,101
2021-11-08,11:00,ENGI.FR,12.757999999999997,12.780179769076302,12.8,332
2021-11-08,11:00,ES.FR,14.5,14.5,14.5,7
2021-11-08,11:00,ESI.FR,69.4,69.4,69.4,1
2021-11-08,11:00,ETL.FR,12.555,12.637001948051946,12.699000000000002,110
2021-11-08,11:00,FATL.FR,43.4,43.4,43.4,1
2021-11-08,11:00,FDJ.FR,45.330000000000005,45.43975670963651,45.5,104
2021-11-08,11:00,FGR.FR,92.92,93.15835512510088,93.5,177
2021-11-08,11:00,FNAC.FR,57.6,57.71052631578949,57.79999999999999,19
2021-11-08,11:00,FPN.FR,0.0374,0.037457142857142856,0.0378,7
2021-11-08,11:00,GALIM.FR,16.8,16.8,16.8,1
2021-11-08,11:00,GLO.FR,19.58,19.621666666666666,19.66,6
2021-11-08,11:00,GNFT.FR,3.15,3.1601538461538463,3.17,13
2021-11-08,11:00,GRVO.FR,132.0,133.51041666666666,134.5,16
2021-11-08,11:00,GUI.FR,14.479999999999999,14.581875,14.65,16
2021-11-08,11:00,GV.FR,0.367,0.36916000000000004,0.3718,15
2021-11-08,11:00,HDP.FR,2.1,2.1,2.1,1
2021-11-08,11:00,HEXA.FR,42.2,42.32000000000001,42.4,5
2021-11-08,11:00,HOLN.FR,44.61,44.65806410256411,44.75,65
2021-11-08,11:00,IPH.FR,4.78,4.806433333333334,4.83,15
2021-11-08,11:00,IPS.FR,41.199999999999996,41.27083333333334,41.35,24
2021-11-08,11:00,KORI.FR,29.28,29.342222222222208,29.42,45
2021-11-08,11:00,LAT.FR,0.518,0.5210833333333333,0.524,3
2021-11-08,11:00,LBIRD.FR,20.15,20.2,20.3,4
2021-11-08,11:00,LI.FR,21.95,22.062940112686295,22.225,131
2021-11-08,11:00,LOCAL.FR,1.3111,1.3129,1.3158,10
2021-11-08,11:00,LSS.FR,36.7,36.7,36.7,3
2021-11-08,11:00,MAAT.FR,13.8,13.9823275862069,14.2,29
2021-11-08,11:00,MBWS.FR,1.425,1.438611111111111,1.45,6
2021-11-08,11:00,MCPHY.FR,22.52,22.631780631353653,22.75,89
2021-11-08,11:00,MDM.FR,20.3,20.405700000000003,20.5,40
2021-11-08,11:00,MLAA.FR,2.75,2.75,2.75,2
2021-11-08,11:00,MTU.FR,29.45,29.612962962962968,29.8,9
2021-11-08,11:00,NEX.FR,88.75,89.01545138888889,89.3,48
2021-11-08,11:00,NHOA.FR,19.92,19.92,19.92,1
2021-11-08,11:00,NK.FR,37.26,37.367260822510836,37.6,66
2021-11-08,11:00,NOKIA.FR,5.099,5.107578947368421,5.113,19
2021-11-08,11:00,NVD3.FR,312.2,312.2,312.2,3
2021-11-08,11:00,ORAP.FR,6.0,6.003846153846154,6.01,13
2021-11-08,11:00,ORIA.FR,185.0,185.0,185.0,1
2021-11-08,11:00,ORP.FR,93.44,93.67866178266176,93.82,91
2021-11-08,11:00,PAR.FR,55.25,55.25,55.25,1
2021-11-08,11:00,PERR.FR,83.8,83.8,83.8,1
2021-11-08,11:00,PEUG.FR,130.4,130.5,130.6,4
2021-11-08,11:00,PIG.FR,5.06,5.06,5.06,3
2021-11-08,11:00,POM.FR,23.5,23.684466666666673,23.76,30
2021-11-08,11:00,PREC.FR,34.207499999999996,34.208749999999995,34.21,2
2021-11-08,11:00,PSAT.FR,6.44,6.44,6.44,1
2021-11-08,11:00,QDT.FR,21.22,21.412931442080378,21.600000000000005,47
2021-11-08,11:00,RE.FR,134.66666666666666,135.05555555555554,135.5,3
2021-11-08,11:00,RF.FR,79.35,79.45555555555556,79.6,27
2021-11-08,11:00,RIN.FR,57.7,58.29533333333334,58.6,25
2021-11-08,11:00,ROTH.FR,40.1,40.15182291666667,40.35,48
2021-11-08,11:00,SEC.FR,0.81,0.81,0.81,1
2021-11-08,11:00,SELER.FR,94.0,94.0,94.0,1
2021-11-08,11:00,SEV.FR,19.695,19.697999999999993,19.7,20
2021-11-08,11:00,SFPI.FR,3.82,3.8279020833333335,3.837749999999999,40
2021-11-08,11:00,TBGBS.FR,0.021,0.021857142857142856,0.024,7
2021-11-08,11:00,TCH.FR,2.684,2.709209876543211,2.728,27
2021-11-08,11:00,TEP.FR,348.7,349.68558859624284,350.6,321
2021-11-08,11:00,TFI.FR,8.89,8.918472222222222,8.93,27
2021-11-08,11:00,TIPI.FR,68.0,68.0,68.0,2
2021-11-08,11:00,TRI.FR,166.2,166.60584415584418,167.0,22
2021-11-08,11:00,UBI.FR,46.85999999999999,46.99647993827161,47.19,108
2021-11-08,11:00,UFF.FR,17.8,17.85,17.9,2
2021-11-08,11:00,VCT.FR,38.4,38.46281250000001,38.65,64
2021-11-08,11:00,VIL.FR,5.825,5.848333333333333,5.88,3
2021-11-08,11:00,VK.FR,7.01,7.082889417319957,7.137499999999999,112
2021-11-08,11:00,VRAP.FR,17.9,17.9,17.9,1
2021-11-08,11:00,XFAB.FR,9.5,9.557003267973855,9.61,51
2021-11-08,12:00,ABVX.FR,27.5,27.55,27.6,5
2021-11-08,12:00,ACA.FR,13.294,13.344883887249138,13.386000000000001,479
2021-11-08,12:00,ADUX.FR,2.14,2.14,2.14,1
2021-11-08,12:00,ADVIC.FR,8.797999999999998,8.866791666666666,8.942,12
2021-11-08,12:00,AFME.FR,6.0,6.0,6.0,1
2021-11-08,12:00,AIR.FR,114.6,114.93333439784257,115.26,549
2021-11-08,12:00,AKW.FR,22.85,22.891666666666662,22.9,6
2021-11-08,12:00,ASY.FR,30.9,30.933333333333334,31.0,3
2021-11-08,12:00,ATE.FR,149.4,149.96039215686278,150.7,68
2021-11-08,12:00,AUB.FR,56.9,57.00416666666666,57.1,8
2021-11-08,12:00,AURE.FR,8.9,8.915000000000001,8.92,4
2021-11-08,12:00,AURS.FR,25.2,25.35,25.5,2
2021-11-08,12:00,AVT.FR,0.0645,0.06451666666666667,0.06455,3
2021-11-08,12:00,BLC.FR,42.2,42.2875,42.4,6
2021-11-08,12:00,BN.FR,56.86,56.94114740245361,57.01,251
